subID,mean_cv_rt,mean_oe_rt,pure_RT,switch_altrun_rt,non_altrun_rt,switch_rand_rt,non_rand_rt,global_cost_alt_RT,global_cost_rand_RT,local_switch_cost_alt_RT,local_switch_cost_rand_RT,Group
3008,617.4516129,584.2747253,600.8631691,1436.508475,1528.431034,1258.410714,1341.754386,927.5678654,740.8912169,-91.92255991,-83.34367168,Healthy
3009,936.6595745,1048.896552,992.7780631,2459.44,2332.678571,2546.055556,1862.245614,1339.900508,869.4675509,126.7614286,683.8099415,Healthy
3010,900.0879121,1451,1175.543956,3155.607843,3068.96,2682.386364,2624.630435,1893.416044,1449.086479,86.64784314,57.75592885,Healthy
1026,1101.505263,964.4042553,1032.954759,2262.928571,1878.40678,2452.741379,1892.421053,845.4520204,859.4662934,384.5217918,560.3203267,Healthy
1029,1133.391304,1133.957447,1133.674376,2407.964286,2468.821429,2258.827586,1916.894737,1335.147053,783.2203613,-60.85714286,341.9328494,Healthy
1030,822.2795699,861.172043,841.7258065,1560.842105,1621.310345,2017.87931,1894.775862,779.5845384,1053.050056,-60.46823956,123.1034483,Healthy
1027.5,1317.903226,1452.728261,1385.315743,2883.363636,2764.269231,2846.6,2159.224138,1378.953487,773.9083946,119.0944056,687.3758621,Healthy
1031,927.7473684,1031.638298,979.6928331,2003.372881,2260.372881,1893.533333,1656.559322,1280.680048,676.8664889,-257,236.9740113,Healthy
3012,854.5483871,947.5869565,901.0676718,1983.303571,2089.898305,2228.607843,2128.758621,1188.830633,1227.690949,-106.5947337,99.84922245,Healthy
3013,717.4166667,792.4731183,754.9448925,1880.508475,1375.836066,1787.844828,1661.586207,620.8911731,906.6413144,504.672409,126.2586207,Healthy
3014,1455.026667,1016.235955,1235.631311,3604.363636,2977.105263,4045.695652,3618.886792,1741.473952,2383.255482,627.2583732,426.8088597,Healthy
